Mi-tesis,mar, 16 jun. 2026 00:54:22 PET
Method,CogC,ev(G),iv(G),LOC,V,v(G)
CSV/TSV data,96
Cascading style sheet,29
Files supported via TextMate bundles,70
JSON,820
Java,"1,263"
JavaScript,471
Markdown,275
Patch,30
Properties,13
Scalable Vector Graphics,1
Shell script,211
Text,"2,248"
XML,164
YAML,146

Project,LOC,v(G)avg,v(G)tot
project,"5,876",1.29,117

